#SHEET_NAME,忆-第六回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian,
,ChapterAnimation,BG_Yi_6,chapter_bg_Y,chapter_title_Y6,Liang,265,,,,,,,,,,,
,*map_yi_6,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_yi_6,,,,,,,,,,,,,,,
,SetChapterName,忆-第六回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,BgEvent,牵灯夜行1,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Ambience,室外主风,TRUE
,AutoSave
,,,,,,,,,,默认1,,,,说起来，我从未在如此深夜归家。,說起來，我從未在如此深夜歸家。,"Now that I think of it, I’d never come home this late before.",そういえば、深夜に家に帰ることなどこれまでになかった。,"Если подумать, то я впервые возвращаюсь домой так поздно.",
,,,,,,,,,,默认2,,,,时近子时，长街早已陷入一片墨色，万籁俱寂，只余我俩一前一后的脚步声，在空旷的街巷中回荡。,時近子時，長街早已陷入一片墨色，萬籟俱寂，只有余我倆一前一後的腳步聲，在空曠的街巷中迴盪。,"Nearing the Hour of the Rat, the long street had dissolved into pitch-black silence, broken only by the hollow echoes of our footsteps—one trailing the other—through the empty alleyways.",既に子の刻も近い。長い通りは墨をこぼしたように暗く、ひっそりと静まり返っている。私たち二人の足音だけが、こつこつと開けた路地に反響した。,"Ближе к страже <ruby=23:00-01:00>Крысы</ruby> длинная улица растворилась во мраке, а всё погрузилось в тишину, которую нарушало лишь эхо наших шагов - моих и той, что шла позади.",
,,,,,,,,,,默认3,,,,我提着一盏灯，昏黄的光晕仅能照亮脚下方寸之地。,我提著一盞燈，昏黃的光暈僅能照亮腳下方寸之地。,"I carried a lantern, its dim yellow glow barely illuminating the patch of ground beneath my feet.",私が提げている微かな光では、足元のごくわずかな範囲しか照らすことができない。,Тусклый желтоватый свет фонаря в моих руках едва освещал землю под ногами.,
,,,,,,,,,,默认4,,,,它随着我的步伐轻轻晃动，像一只温顺的萤火虫，指引着前方的道路，使得我们不会摔倒。,它隨著我的步伐輕輕晃動，像一隻溫順的螢火蟲，指引著前方的道路，使得我們不會摔倒。,"It swayed gently with my steps, like a docile firefly, lighting the path ahead to keep us from stumbling.",それは私が歩くたびにおとなしい蛍のように軽く揺れ、私たちが転んでしまわないよう、進む先を示してくれている。,"Он мягко покачивался в такт моих шагов, словно послушный светлячок, освещающий путь впереди, чтобы мы не споткнулись.",
,,,,,,,,,,默认5,,,,身后那细碎却坚定的脚步声，无时无刻不在提醒着我——今夜，我方知宥并非是独自归家。,身後那細碎卻堅定的腳步聲，無時無刻不在提醒著我——今夜，我方知宥並非是獨自歸家。,"The faint yet relentless footsteps behind me never ceased their reminder——that tonight, Fang Zhiyou was not returning home alone.",背後で聞こえる小さな、それでいてはっきりとした足音が、ずっと私にこう告げている――今夜、方知宥は一人で帰宅しない、と。,"Мелкие, но уверенные шажки за моей спиной постоянно напоминали мне - этой ночью Фан Чжию идёт домой не один.",
,,,,,,,,,,默认6,,,,约莫一炷香前，在我即将离开二十四桥柳巷之际，撞见了一位蜷缩暗处、呜咽垂泪的女子。,約莫一炷香前，在我即將離開二十四橋柳巷之際，撞見了一位蜷縮暗處、嗚咽垂淚的女子。,"About an hour ago, as I neared the end of Willow Lane at Twenty-Four Bridges, I spotted a woman hunched in the shadows, weeping softly.",およそ一炷香前。二十四橋の柳巷を抜けようとしたところで、暗がりにうずくまって泣いている女と出会った。,"Примерно время горения одной палочки благовоний тому назад, собираясь уже покидать ""Ивовый переулок"", я наткнулся на свернувшуюся в калачик и горько плакавшую девушку.",
,,,,,,,,,,默认7,,,,我给了她一两银子，本意是劝她早些归去，她却以无处可归为由，一路默默相随，直至此地。,我給了她一兩銀子，本意是勸她早些歸去，她卻以無處可歸為由，一路默默相隨，直至此地。,"I gave her one tael of silver, hoping to persuade her to leave, but she silently followed me all the way here, claiming she had nowhere else to go.",さっさと帰らせてやるつもりで少し金をやったのだが、帰る場所がないという理由でついてきてしまい、現在に至る。,"Я дал ей таэль серебра с мыслью, чтобы она поскорее могла вернуться домой, но вместо этого, под предлогом того, что ей больше некуда идти, она стала молча следовать за мной всю дорогу.",
,Se,推门,,,,,,,,,,,,,,,,
,BgEventOff,CG名,,,,,1,,,,,,,,,,,
,Bg,方院外街道忆夜,,,,,,,,,,,,,,,,
,,,,,,,,,,默认8,,,,——吱呀,——吱呀,—Creak,――ギイ,*Скрип.*,
,,,,,,,,,,默认9,,,,我推开了方院的木门。,我推開了方院的木門。,I pushed open the wooden door of Fang's Courtyard.,方院の門を押し開けた。,Я распахнул деревянные ворота двора семьи Фан.,
,CharacterOff,,,,,,3,,,,,,,,,,,
,HideMessageWindow,,,,,,,,,,,,,,,,,
,CaptureImage,截图,SpriteCamera,背景截图,,,,,,,,,,,,,,
,Bg,方院夜,,,,,,,,,,,,,,,,
,RuleFadeOut,截图,FadeCircle,,Linear,,3,,PageWait,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,ShowMessageWindow,,,,,,,,,,,,,,,,,
,Ambience,室内沙沙,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,默认10,,,,方院不算轩敞，一庭三室，但于我一人而言，已是绰绰有余。,方院不算軒敞，一庭三室，但於我一人而言，已是綽綽有餘。,"Fang's Courtyard wasn’t particularly spacious—just a single courtyard with three rooms—but for me alone, it was more than enough.",庭が一つに家屋が三つ、そう広い屋敷ではない。だが一人暮らしの私には、十分すぎるほどのゆとりだ。,Двор был не особенно просторен - всего два флигеля и главный дом - но для одного меня этого было более чем достаточно.,
,,,,,,,,,,默认11,,,,此地与我缘分匪浅。曾几何时，我与雁儿姐便隔着一扇门，背靠背地倚坐于此。,此地與我緣分匪淺。曾幾何時，我與雁兒姐便隔著一扇門，背靠背地倚坐於此。我們一同背書，一同奏樂，分享彼此的悲喜，如此度過了一年多的光陰。後來，方家人察覺了我們的私會，再見她便難如登天。,"This place held a deep connection for me. Once, <ruby=Swan Goose>Sister Yan</ruby> and I sat back-to-back here, separated only by a door. We studied together, played music together, shared each other’s joys and sorrows—over a year passed like this. Later, the Fang Family discovered our secret meetings, and seeing her again became as difficult as climbing to the heavens.",この場所には深い縁がある。かつて雁姉と門一枚挟んで背中合わせに座っていたものだ。共に本を読み、曲を奏で、一年近く苦楽を共にする暮らしをした。その後は密会がばれ、再び会うことは難しくなった。,"Это место было связано со мной нитями судьбы. Когда-то мы с сестричкой Лебёдушкой сидели здесь спина к спине, разделённые лишь воротами. Больше года мы вместе учились, играли музыку, делились радостями и бедами. Затем в семье Фан прознали про наши тайные встречи, и снова повидаться с ней стало задачей крайне трудной.",
,,,,,,,,,,默认1111,,,,我们一同背书，一同奏乐，分享彼此的悲喜，如此度过了一年多的光阴。后来，方家人察觉了我们的私会，再见她便难如登天。,,,,
,,,,,,,,,,默认12,,,,再后来，伯父死了，她被伯母送走了，不知所踪。,再後來，伯父死了，她被伯母送走了，不知所蹤。,"Later, Uncle died, and Aunt sent her away—no one knows where she went.",後に伯父が死に、彼女は伯母にどこかにやられてしまい、行方知れずとなった。,"Ну а потом дядя умер, а тётя её выслала в неизвестном направлении.",,,
,,,,,,,,,,默认34,,,,这时，林翩翩忽地急切出声，叫住了我。,這時，林翩翩忽地急切出聲，叫住了我。,"Just then, Lin Pianpian called out urgently, stopping me in my tracks.",その時、翩翩が声を張り上げ、私を呼び止めた。,Вдруг поспешно окрикнула меня Линь Пяньпянь.,,,
,,方知宥,,,,,,,,默认35,,方知宥/13_方知宥_05,,[何事？],[何事？],"""What is it?""",「どうした？」,"""Что случилось?""",,,
,,林翩翩忆,泪眼惺忪,,,,,,,默认36,,林翩翩/13_林翩翩_005,,[你若就此合门，屋内漆黑一片，我……我心中惧怕。至少，将你手中这盏灯留与我吧？],[你若就此合門，屋內漆黑一片，我……我心中懼怕。至少，將你手中這盞燈留與我吧？],"""If you close this door now, the room will be plunged into darkness... I'm frightened. At least leave this lamp with me?""",「全部閉めちゃったら真っ暗になるでしょ……怖いの。せめて、その灯りを貸してくれない？」,"""Если закроешь дверь, то тут будет совсем темно... Я боюсь. Можешь хотя бы фонарь оставить?""",,,
,,,,,,,,,,默认37,,,,她抬手指了指我手中那盏摇曳的孤灯。,她抬手指了指我手中那盞搖曳的孤燈。,"She lifted a hand, gesturing at the solitary flickering lamp I held.",彼女が私の手でゆらめく蝋燭を指さす。,"Она протянула руку, указывая на мерцающий фонарь у меня в руках.",,,
,,方知宥,,,,,,,,默认38,,方知宥/13_方知宥_06,,[此屋干草甚多，极易引燃，我可不敢把它留给你，怕你把这整个屋子都点着了……],[此屋乾草甚多，極易引燃，我可不敢把它留給你，怕你把這整個屋子都點著了……],"""This shack's full of dry hay—it'd go up like kindling. I can't risk leaving the lamp with you. You might burn the whole place down...""",「ここは干し草が多いから燃えやすい。だから貸すわけにはいかないよ。屋敷ごと燃やされてはかなわないしな……」,"""Во флигеле полно сена, оно вспыхнет как пить дать. Не могу я тебе фонарь оставить - спалишь всё дотла...""",,,
,,,,,,,,,,默认39,,,,我语气平缓，同时将灯光移向墙角那堆干燥的草柴，将它们展示给林翩翩看。,我語氣平緩，同時將燈光移向牆角那堆乾燥的草柴，將它們展示給林翩翩看。,"I kept my tone even as I tilted the lamp toward the corner, illuminating the pile of bone-dry tinder for Lin Pianpian to see.",私は淡々とそう言いながら、部屋の隅にある乾燥した干し草や薪を照らし、翩翩に見せる。,"Спокойно сказал я ей, а затем осветил фонарём сено в углу, чтобы показать Линь Пяньпянь.",,,
,,,,,,,,,,默认40,,,,我一直都没忘记。,我一直都沒忘記。,I've never forgotten.,忘れもしない。,Я до сих пор не забыл.,,,
,,,,,,,,,,默认41,,,,小时候，我和雁儿姐生火时，一不小心点亮了整个破屋子。,小時候，我和雁兒姐生火時，一不小心點亮了整個破屋子。,"When I was little, <ruby=Swan Goose>Sister Yan</ruby> and I accidentally set the whole Dry Grass ablaze while trying to start a fire.",子供の頃、雁姉と火を起こして、うっかりぼろ家ごと燃やしてしまったことを。,"Когда я был маленьким, мы с сестричкой Лебёдушкой, пытаясь разжечь огонь, случайно подожгли целый дом.",,,
,,方知宥,,,,,,,,默认42,,方知宥/13_方知宥_07,,[而且，灯芯看来也燃不久了，恐怕你刚铺好床褥，它便熄了。],[而且，燈芯看來也燃不久了，恐怕你剛鋪好床褥，它便熄了。],"""Besides, the Lamp Wick won't last much longer—it'll probably go out right after you finish laying the bedding.""",「それに、蝋燭もそろそろ消えそうだ。布団を敷き終える頃には消えているだろうさ」,"""К тому же, фитиль уже почти догорел - думаю, он погаснет до того, как ты успеешь сделать себе кровать.""",,,
,,,,,,,,,,默认43,,,,我抬起灯盏，将之细看。,我抬起燈盞，將之細看。,I lifted the lamp and examined it closely.,灯りを目線まで持ち上げ、よく観察する。,"Приподняв фонарь, я осмотрел его.",,,
,,,,,,,,,,默认44,,,,此时，芯绳已经烧了一大半，不剩多少了。,此時，芯繩已經燒了一大半，不剩多少了。,"By now, the wick had burned more than halfway, with little left.",すでに芯の大半は燃え尽きてしまい、ほとんど残っていない。,"Фитиль уже прогорел более чем на половину, оставалось немного.",,,
,,林翩翩忆,通常,,,,,,,默认45,,林翩翩/13_林翩翩_006,,[那……还是让我和你住一屋吧，我自己搬被褥，随便找个窄的地方睡下……不占你地方。],[那……還是讓我和你住一屋吧，我自己搬被褥，隨便找個窄的地方入睡……不占你地方。],"""That... Let me stay in your room. I'll move my own bedding and sleep in any narrow corner... I won't take up space.""",「じゃあ……やっぱり一緒にいさせて。布団は自分で持ってくるし、そのへんの狭い場所で寝るから……邪魔にならないように」,"""Тогда, может... разрешишь мне поспать под одной крышей с тобой? Я постелюсь в любом уголке и лягу там... Много места не займу.""",,,
,,,,,,,,,,默认46,,,,她低着头，双手扣住衣服的一角说道。,她低著頭，雙手扣住衣服的一角說道。,"She lowered her head, fingers clutching a corner of her clothes as she spoke.",彼女はうつむき、両手で服の裾をぎゅっと握ってそう言う。,"Склонив голову и ухватившись пальцами за края одежды, сказала она.",,,
,,林翩翩忆,低头可怜,,,,,,,默认47,,林翩翩/13_林翩翩_007,,[我不给你添乱……你愿说话时，我便陪你说；不愿时，我一句都不说……你若是嫌我脏，今日不脏的……晨起时我刚冲过凉，今日也不曾接过客……],[我不給你添亂……你願說話時，我便陪你說；不願時，我一句都不說……你若是嫌我髒，今日不髒的……晨起時我剛沖過涼，今日也不曾接過客……],"""I won't cause you any trouble... When you want to talk, I'll stay with you; when you don't, I won't say a word... If you think I'm unclean... today I'm not... I showered at dawn, and haven't entertained any clients today...""",「迷惑はかけないから……話したければ付き合う。嫌だったら何も言わない……あたしが汚らしいと思うなら……今日は汚れてないけど……起きてから水浴びしたし、お客さんも取ってないから……」,"""Я не буду мешать... Захочешь поговорить - поговорим... не захочешь - буду молчать. Если ты думаешь, что я грязная, то сегодня как раз нет... я поутру сполоснулась, да и клиентов у меня не было...""",,,
,,,,,,,,,,默认48,,,,她微微低着头，断断续续地说了一大堆话。,她微微低著頭，斷斷續續地說了一大堆話。,"She kept her head slightly lowered, speaking in fragmented, halting sentences.",うつむいたまま、ぶつぶつと話し続ける彼女。,"Она продолжала говорить прерывисто, с опущенной головой.",,,
,,方知宥,,,,,,,,默认49,,方知宥/13_方知宥_08,,[不是，我没有嫌你脏的意思，只是觉得孤男寡女共处一室不好……],[不是，我沒有嫌你髒的意思，只是覺得孤男寡女共處一室不好……],"""No, I don't think you're unclean—it's just improper for an unmarried man and woman to share quarters...""",「いや、そういう意味じゃない。ただ、独身の男女が部屋を共にするのはよくないと思って……」,"""Да я вовсе не из-за того, что думал, что ты грязная... Просто незамужним мужчине и женщине спать в одном помещении не очень хорошо...""",,,
,,,,,,,,,,默认50,,,,我缓缓解释。,我緩紓解釋。,I explained carefully.,のらりくらりとかわそうとする私。,Не спеша объяснил я.,,,
,,林翩翩忆,,,,,,,,默认51,,,,[……],[……],"""...""",「……」,"""...""",,,
,,,,,,,,,,默认52,,,,同时，我也注意到林翩翩眸中的光采渐渐黯淡，显得有些沮丧。,同時，我也注意到林翩翩眸中的光彩漸漸黯淡，顯得有些沮喪。,"Meanwhile, I noticed the light fading from Lin Pianpian's eyes, her expression turning despondent.",その時、翩翩の瞳から光が徐々に失せていき、露骨にがっかりしているのがわかった。,"В то же время я заметил, что блеск в её глазах постепенно угасал, и она стала выглядеть какой-то подавленной.",,,
,,方知宥,,,,,,,,默认53,,方知宥/13_方知宥_09,,[但若是不同床，彼此离得远些的话……],[但若是不同床，彼此離得遠些的話……],"""But if we don't share the bed, keeping proper distance...""",「だが、同じ布団ではなく、少し距離を離してくれるなら……」,"""Но... если будем спать в разных кроватях, подальше друг от друга...""",,,
,,,,,,,,,,默认54,,,,我近乎自语地沉吟着，犹豫地权衡着。,我近乎自語地沉吟著，猶豫地權衡著。,"I murmured almost to myself, hesitantly weighing the options.",ほぼ独り言のようにもごもご呟きつつ、躊躇しながら落としどころを探る。,"Пробормотал я словно про себя, в неуверенности, как поступить.",,,
,,林翩翩忆,微笑,,,,,,,默认55,,,,[……],[……],"""...""",「……」,"""...""",,,
,,,,,,,,,,默认56,,,,林翩翩敏锐地捕捉到我口风的松动，沮丧顷刻转为欣喜。,林翩翩敏銳地捕捉到我口風的鬆動，沮喪頃刻轉為欣喜。,"Lin Pianpian keenly caught the hesitation in my voice, her frustration instantly giving way to delight.",私の口調の変化を敏感に察した彼女は、すぐに落胆から嬉しそうな表情になった。,"Линь Пяньпянь резво подметила мою неуверенность, и её подавленность тут же сменилась радостью.",,,
,,林翩翩忆,欣喜,,,,,,,默认57,,林翩翩/13_林翩翩_008,,[我这便去收拾！],[我這便去收拾！],"""I'll go prepare things then!""",「じゃ、片付けるね！」,"""Тогда сейчас всё подготовлю!""",,,
,CharacterOff,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认58,,,,她不待我最终首肯，便迅捷地行动起来，着手去收拾，准备在左屋打地铺了。,她不待我最終首肯，便迅捷地行動起來，著手去收拾，準備在左屋打地鋪了。,"Without waiting for my final approval, she sprang into action, tidying up to lay out bedding in the Left Chamber.",私が返事をするのも待たず、彼女がすぐに動き出した。荷物をまとめ、左の傍屋で布団を敷く準備を始める。,"Не дожидаясь моего разрешения, она сразу же принялась готовиться перенести свою кровать в левый флигель.",,,
,FadeOut,black,,wipe_left,,,1,,,,,,,,,,,
,Bg,左屋忆夜,,,,,0,,,,,,,,,,,
,FadeIn,black,,wipe_right,,,1,,,,,,,,,,,
,,,,,,,,,,默认59,,,,……,……,...,……,...,,,
,,,,,,,,,,默认60,,,,我领着林翩翩进了我平常睡的左屋。,我領著林翩翩進了我平常睡的左屋。,"I led Lin Pianpian into the Left Chamber, where I normally slept.",結局、私は林翩翩を普段寝起きしている左の傍屋に案内することになった。,"Я привёл Линь Пяньпянь в левый флигель, где обычно спал сам.",,,
,,,,,,,,,,默认61,,,,左屋摆放的东西不多，陈设简素。,左屋擺放的東西不多，陳設簡素。,The Left Chamber was sparsely furnished with simple decor.,こちらはあまり物を置いておらず、殺風景だ。,Он был обставлен просто:,,,
,,,,,,,,,,默认62,,,,这里只有一个书架、一张极矮的木床，一扇窗，其余地方都显得很空旷。,這裡只有一個書架、一張極矮的木床，一扇窗，其餘地方都顯得很空曠。,"It held only a bookshelf, an extremely low wooden bed, and a window—the rest of the space stood starkly empty.",あるのは本棚と曲がった木の寝台、窓がそれぞれ一つだけで、あとはだだっ広い空間があるだけだ。,"Книжный шкаф, очень низкая деревянная кровать и окно. Больше ничего.",,,
,,,,,,,,,,默认63,,,,林翩翩挑好一个远离床榻的偏僻位置后，便开始从右屋搬运干草和被褥。,林翩翩挑好一個遠離床榻的偏僻位置後，便開始從右屋搬運乾草和被褥。,"After selecting a secluded spot far from the bedstead, Lin Pianpian began hauling dry grass and bedding from the Right Chamber.",翩翩は寝台から離れた場所を選ぶと、右の傍屋から干し草と布団を運び出した。,"Выбрав укромный угол подальше от моей кровати, Линь Пяньпянь начала перетаскивать сено и циновку из правого флигеля.",,,
,,,,,,,,,,默认64,,,,搬运的时候，偶尔会扬起灰尘。,搬運的時候，偶爾會揚起灰塵。,Dust occasionally billowed up during the hauling.,のしのしと運んでいると、時々埃が舞う。,"Пока она всё перетаскивала, иногда по дороге поднимались клубы пыли.",,,
,,,,,,,,,,默认65,,,,这时，她会跟我说，等明日时她会将所有东西复归原位，并帮我把房子打扫干净。,這時，她會跟我說，等明日時她會將所有東西復歸原位，並幫我把房子打掃乾淨。,She'd reassure me that she'd return everything to its place tomorrow and thoroughly clean the house.,明日になれば全て元通りにして、ちゃんと部屋を掃除しておくと言ってくれた。,"Тогда она заверяла меня, что завтра всё вернёт на место, а также приберётся в доме как следует.",,,
,,,,,,,,,,默认67,,,,然而，当她抱起那卷沉重的被褥的时候，因她身形瘦弱，抱着的时候摇摇晃晃，很是吃力。,然而，當她抱起那卷沉重的被褥的時，因她身形瘦弱，抱著的時候搖搖晃晃，非常吃力。,"But when she lifted the heavy bedding roll, her slender frame made her stagger under its weight, visibly straining.",しかし重い布団を運ぶ段になると、痩せぎすの彼女の体では持ち上げただけでふらふらし、大変そうだった。,"Однако, подняв тяжёлую циновку, она пошатнулась от её веса. Очевидно, что для её хрупкой фигуры это было уже очень выматывающим делом.",,,
,,,,,,,,,,默认68,,,,我见状，便上去帮忙。,我見狀，便上去幫忙。,"Seeing this, I stepped forward to help.",そんな様子を見て、私は手伝ってやることにした。,"Видя это, я решил помочь ей.",,,
,,,,,,,,,,默认69,,,,约莫一炷香后，她的地铺总算铺好了。,約莫一炷香後，她的地鋪總算鋪好了。,"After roughly an hour, her makeshift bed was finally laid out.",およそ一炷香後、ようやく布団を敷き終えた。,"Спустя время горения одной палочки благовоний постель на полу для неё была, наконец, готова.",,,
,,,,,,,,,,默认70,,,,令我略感意外的是，那盏自柳巷购得的油灯，灯芯竟异常坚韧，摇曳良久，仍未燃尽。,令我略感意外的是，那盞自柳巷購得的油燈，燈芯竟異常堅韌，搖曳良久，仍未燃盡。,"To my slight surprise, the wick of the oil lamp from Willow Lane proved remarkably resilient—flickering persistently without burning out.",少し意外なことに、柳巷で買った灯りは異様なほどに丈夫で、久しく揺られていた割に未だに消えていなかった。,"К моему удивлению, фитиль в фонаре с Ивового переулка оказался на редкость прочным и до сих пор ещё не погас.",,,
,,,,,,,,,,默认71,,,,我小心翼翼地将灯盏置于远离木材的墙角僻静处，借着那昏蒙的微光，一点点摸索至我的床榻躺下。,我小心翼翼地將燈盞置於遠離木材的牆角僻靜處，藉著那昏蒙的微光，一點點摸索至我的床榻躺下。,"I carefully placed the lamp in a quiet corner far from any wooden beams, then groped my way toward my bedstead by its dim, hazy glow.",そっと灯りを木材から離れた部屋の隅に置く。そして微かな灯りを頼りに、手探りで自分の寝台まで行き横になった。,"Я осторожно поставил фонарь в дальний угол, подальше от чего-либо деревянного. В слабом и тусклом свете я на ощупь дошёл до кровати.",,,
,,,,,,,,,,默认73,,,,我的影子大，她的影子小，我们的影子正在重合，她也正缓缓躺下。,我的影子大，她的影子小，我們的影子正在重合，她也正緩緩躺下。,"My shadow looms large, hers slight, the two merging as she sinks slowly to the ground.",大きい影の私と、小さい影の彼女。ふたりの影が重なり合い、彼女もゆっくりと横たわる。,"Моя тень была большой, а её маленькой. Наши тени слились, когда она легла на свою кровать.",,,
,Bgm,明末_芸芸众生_可循环,,,,0.2,5,,,,,,,,,,,
,BgEvent,林翩翩侧卧1,,,,,1,,,,,,,,,,,
,,林翩翩,<Off>,,,,,,,默认74,,林翩翩/13_林翩翩_009,,[知宥……],[知宥……],"""Zhiyou...""",「知宥……」,"""Чжию...""",,,
,,,,,,,,,,默认75,,,,她躺好后，轻声唤了我的名字。,她躺好後，輕聲喚了我的名字。,"Once she’s settled, her voice whispers my name.",寝そべってから、彼女が小さく私の名を呼んだ。,"Улёгшись, она тихо окликнула меня.",,,
,,方知宥,,,,,,,,默认76,,,,[……],[……],"""...""",「……」,"""...""",,,
,,,,,,,,,,默认77,,,,突然被她叫了名字，让我不禁一愣，心想她是从哪知道的我的名字。,突然被她叫了名字，讓我不禁一愣，心想她是從哪知道的我的名字。,Hearing my name from her lips jolts me—since when did she know it?,突然名を言われたことで少し狼狽した。どこで私の名を知ったのだろうか。,"Вдруг услышав от неё своё имя, я на какой-то момент застыл, думая, откуда она могла его знать.",,,
,,,,,,,,,,默认78,,,,不过，我很快便想起来了。,不過，我很快便想起來了。,But the memory surfaces quickly.,だがすぐに思い出した。,Но потом я сразу же вспомнил.,,,
,,,,,,,,,,默认79,,,,回来的路上，我告诉过她我的名字，她知道我的名字并不奇怪。,回來的路上，我告訴過她我的名字，她知道我的名字並不奇怪。,"I’d told her my name on the walk back; of course, she’d know.",帰り道で教えたのだった。知っていても不思議ではない。,"Я же сказал, как меня зовут, когда мы шли вместе. Понятное дело, что она знает его.",,,
,,,,,,,,,,默认80,,,,虽说，刚认识不久的两人，互相称呼名字有些奇怪。,雖說，我們這個剛認識不久的兩人，互相稱呼名字有些奇怪。,"Still, for near-strangers to exchange names so freely felt unnatural.",知り合ったばかりの二人が、下の名で呼び合うのは少し変な気分だ。,Хотя для едва познакомившихся людей было несколько странно так напрямую сразу звать друг друга по имени.,,,
,,,,,,,,,,默认81,,,,但是，在此刻孤男寡女同室而居的情形下，若再沿用“相公”“官人”那等风月场的称呼，会令我更加不安。,但是，在此刻孤男寡女同室而居的情形下，若再沿用“相公”、“官人”那等風月場的稱呼，會令我更加不安。,"Yet here, alone together in this room, clinging to ""Husband"", ""My lord"", those pleasure-quarter endearments only make me more uneasy.",だが今のように独り身の男女が同じ部屋にいる状況で、「旦那」だの「官人」だのの界隈の言葉で呼ばれるのも、むしろぞっとする。,"С другой стороны, в такой обстановке наедине друг с другом было бы ещё более неловко, если бы она называла меня ""дорогой"" или ""мой господин"", как это делают девушки из весёлого квартала.",,,
,,,,,,,,,,默认82,,,,如此直呼其名，倒也更妥当。,如此直呼其名，倒也更妥當。,Using my plain name is far more fitting.,直接名で呼ばれた方が、妙な気分にならなくていい。,"Так что напрямую звать меня по имени, пожалуй, было вполне приемлемо.",,,
,,方知宥,,,,,,,,默认83,,方知宥/13_方知宥_10,,[何事？],[何事？],"""What is it?""",「どうした？」,"""Чего?""",,,
,,,,,,,,,,默认84,,,,我并未转头看她，只望着墙上她的剪影发问。,我並未轉頭看她，只望著牆上她的剪影發問。,"I didn’t turn toward her, just addressed her shadow cast on the wall.",彼女の方に振り返ることなく、壁の影の方を見て聞く。,"Ответил я, не поворачиваясь, а лишь глядя на её тень на стене.",,,
,,林翩翩,,,,,,,,默认85,,林翩翩/13_林翩翩_010,,[灯还亮着，没有像你方才说的那样很快熄灭。],[燈還亮著，沒有像你方才說的那樣很快熄滅。],"""The lamp’s still burning—it didn’t fade as fast as you claimed.""",「まだ灯りがついてる。知宥が言ってたほどすぐには消えなかったね」,"""Фонарь ещё горит... не погас, как ты говорил.""",,,
,,方知宥,,,,,,,,默认86,,方知宥/13_方知宥_11,,[确是如此。],[確是如此。],"""True enough.""",「そうだな」,"""Это точно.""",,,
,,林翩翩,,,,,,,,默认87,,,,[……],[……],"""...""",「……」,"""...""",,,
,BgEvent,方侧卧1,,,,,1,,,,,,,,,,,
,,林翩翩,,,,,,,,默认88,,林翩翩/13_林翩翩_011,,[你……现下便要睡了么？],[你……現下便要睡了嗎？],"""You... Turning in already?""",「もう……寝る？」,"""Ты... прямо сейчас спать собираешься?""",,,
,,方知宥,,,,,,,,默认89,,,,[……],[……],"""...""",「……」,"""...""",,,
,,林翩翩,,,,,,,,默认90,,林翩翩/13_林翩翩_012,,[你若想睡，告诉我便是，我自会乖乖地当个哑巴……可若是你一时睡不着，不如我们聊几句？],[你若想睡，告訴我便是，我自會乖乖地當個啞巴……可若是你一時睡不著，不如我們聊幾句？],"""If you’re tired, tell me. I’ll keep quiet as a corpse... But if sleep won’t come... care to talk?""",「眠かったら言ってくれれば黙るから……でもまだ眠れないなら、少し話してくれる？」,"""Если хочешь спать, так и скажи, я тогда рот на замок закрою, совсем не буду тебя тревожить... Но если тебе пока спать неохота, может, поговорим?""",,,
,,,,,,,,,,默认91,,,,她语调轻快，带着试探提议道。,她語調輕快，帶著試探提議道。,"Her voice brightened, testing the waters.",彼女は軽い口調で、探るようにそう言ってきた。,"Непринуждённо спросила она меня, словно прощупывая почву.",,,
,,方知宥,,,,,,,,默认92,,方知宥/13_方知宥_12,,[聊什么？],[聊什麼？],"""What about?""",「話すって、何を？」,"""О чём?""",,,
,,,,,,,,,,默认93,,,,我语气平淡。,我語氣平淡。,My tone was flat.,対する私の口調は平坦なものだ。,Сухо сказал я.,,,
,BgEvent,林翩翩侧卧2,,,,,1,,,,,,,,,,,
,,林翩翩,,,,,,,,默认94,,林翩翩/13_林翩翩_013,,[哈哈，我只是有些看不透你，觉得你甚是奇怪。],[哈哈，我只是有些看不透你，覺得你甚是奇怪。],"""Haha, I just can't quite figure you out. You strike me as rather peculiar.""",「ふふっ。なんかね、あんたのことよく分かんなくて。ちょっと変な感じ」,"""Хи-хи, я просто вот никак тебя понять не могу. Ты даже кажешься мне... странным.""",,,
,,方知宥,,,,,,,,默认95,,方知宥/13_方知宥_13,,[奇怪？],[奇怪？],"""Peculiar?""",「変？」,"""Странным?""",,,
